time,vehicle_id,longitude,latitude,angle,vehicle_type,speed_mps,position_on_lane,lane,slope
137.0,car_006,77.634393,12.916357,93.91,car,13.48,221.07,380707230#0_0,0.00
137.0,car_007,77.633023,12.916487,95.19,car,12.63,71.67,380707230#0_0,0.00
137.0,car_008,77.633896,12.916431,95.04,car,16.56,166.60,380707230#0_1,0.00
137.0,car_009,77.632567,12.916532,95.19,car,15.64,21.88,380707230#0_0,0.00
137.0,car_010,77.630653,12.916700,92.76,car,16.24,6.81,:12683580002_3_0,0.00
137.0,truck_001,77.624056,12.917601,80.17,truck,11.81,95.37,1073384217#1_0,0.00
138.0,bike_001,77.640367,12.916928,48.29,motorcycle,15.44,595.38,380707230#2_0,0.00
138.0,bike_002,77.633574,12.916433,95.04,motorcycle,10.32,131.75,380707230#0_0,0.00
138.0,bike_003,77.635129,12.916307,91.90,motorcycle,13.94,1.73,380707230#2_0,0.00
138.0,bike_004,77.633442,12.916475,95.04,motorcycle,14.92,117.03,380707230#0_1,0.00
138.0,bike_005,77.629838,12.916754,93.53,motorcycle,16.27,59.30,1534247766#0_0,0.00
138.0,bus_001,77.627900,12.917044,106.23,bus,13.39,523.62,1073384217#1_0,0.00
138.0,car_001,77.642362,12.918919,35.32,car,16.26,215.67,377125912#2_0,0.00
138.0,car_002,77.640178,12.916767,52.03,car,14.17,568.31,380707230#2_0,0.00
138.0,car_003,77.640335,12.916938,48.30,car,15.90,593.06,380707230#2_1,0.00
138.0,car_004,77.639744,12.916492,63.45,car,16.11,512.27,380707230#2_0,0.00
138.0,car_005,77.638682,12.916091,71.90,car,16.55,388.94,380707230#2_0,0.00
138.0,car_006,77.634509,12.916348,93.91,car,12.67,233.74,380707230#0_0,0.00
138.0,car_007,77.633141,12.916475,95.19,car,12.80,84.47,380707230#0_0,0.00
138.0,car_008,77.634040,12.916417,95.04,car,15.65,182.26,380707230#0_1,0.00
138.0,car_009,77.632715,12.916517,95.19,car,16.19,38.07,380707230#0_0,0.00
138.0,car_010,77.630804,12.916693,92.21,car,16.39,13.70,1534247766#1_0,0.00
138.0,truck_001,77.624165,12.917618,80.17,truck,12.00,107.37,1073384217#1_0,0.00
139.0,bike_001,77.640473,12.917022,46.41,motorcycle,15.50,610.87,380707230#2_0,0.00
139.0,bike_002,77.633664,12.916424,95.04,motorcycle,9.77,141.53,380707230#0_0,0.00
139.0,bike_003,77.635267,12.916301,91.90,motorcycle,14.96,16.69,380707230#2_0,0.00
139.0,bike_004,77.633589,12.916461,95.04,motorcycle,16.03,133.06,380707230#0_1,0.00
139.0,bike_005,77.629974,12.916745,93.26,motorcycle,14.73,74.03,1534247766#0_0,0.00
139.0,bus_001,77.628021,12.917008,106.23,bus,13.68,537.30,1073384217#1_0,0.00
139.0,car_001,77.642450,12.919039,35.32,car,16.34,232.02,377125912#2_0,0.00
139.0,car_002,77.640275,12.916849,48.29,car,13.91,582.22,380707230#2_0,0.00
139.0,car_003,77.640442,12.917033,46.40,car,15.71,608.77,380707230#2_1,0.00
139.0,car_004,77.639877,12.916566,59.30,car,16.52,528.78,380707230#2_0,0.00
139.0,car_005,77.638819,12.916133,71.90,car,15.64,404.58,380707230#2_0,0.00
139.0,car_006,77.634626,12.916339,93.91,car,12.66,246.40,380707230#0_0,0.00
139.0,car_007,77.633253,12.916464,95.04,car,12.29,96.76,380707230#0_0,0.00
139.0,car_008,77.634190,12.916403,95.04,car,16.40,198.66,380707230#0_1,0.00
139.0,car_009,77.632866,12.916502,95.19,car,16.40,54.47,380707230#0_0,0.00
139.0,car_010,77.630955,12.916686,92.21,car,16.47,30.17,1534247766#1_0,0.00
139.0,truck_001,77.624273,12.917635,80.17,truck,11.95,119.32,1073384217#1_0,0.00
140.0,bike_001,77.640583,12.917115,51.54,motorcycle,15.72,626.60,380707230#2_0,0.00
140.0,bike_002,77.633768,12.916414,95.04,motorcycle,11.33,152.85,380707230#0_0,0.00
140.0,bike_003,77.635393,12.916296,91.90,motorcycle,13.61,30.30,380707230#2_0,0.00
140.0,bike_004,77.633722,12.916448,95.04,motorcycle,14.53,147.59,380707230#0_1,0.00
140.0,bike_005,77.630111,12.916736,93.26,motorcycle,14.95,88.98,1534247766#0_0,0.00
140.0,bus_001,77.628137,12.916973,106.23,bus,13.19,550.50,1073384217#1_0,0.00
140.0,car_001,77.642539,12.919159,35.32,car,16.40,248.42,377125912#2_0,0.00
140.0,car_002,77.640380,12.916939,48.29,car,15.00,597.22,380707230#2_0,0.00
140.0,car_003,77.640557,12.917132,51.55,car,16.59,625.36,380707230#2_1,0.00
140.0,car_004,77.640007,12.916640,59.30,car,16.26,545.04,380707230#2_0,0.00
140.0,car_005,77.638958,12.916183,69.28,car,15.94,420.52,380707230#2_0,0.00
140.0,car_006,77.634745,12.916330,93.91,car,12.94,259.34,380707230#0_0,0.00
140.0,car_007,77.633370,12.916453,95.04,car,12.76,109.51,380707230#0_0,0.00
140.0,car_008,77.634336,12.916390,93.91,car,15.94,214.60,380707230#0_1,0.00
140.0,car_009,77.633009,12.916488,95.19,car,15.68,70.15,380707230#0_0,0.00
140.0,car_010,77.631099,12.916677,94.69,car,15.72,45.89,1534247766#1_0,0.00
140.0,truck_001,77.624379,12.917652,80.17,truck,11.66,130.99,1073384217#1_0,0.00
141.0,bike_001,77.640697,12.917203,51.54,motorcycle,15.69,642.29,380707230#2_0,0.00
141.0,bike_002,77.633866,12.916405,95.04,motorcycle,10.73,163.58,380707230#0_0,0.00
141.0,bike_003,77.635532,12.916290,91.90,motorcycle,15.03,45.33,380707230#2_0,0.00
141.0,bike_004,77.633871,12.916433,95.04,motorcycle,16.30,163.89,380707230#0_1,0.00
141.0,bike_005,77.630242,12.916727,93.26,motorcycle,14.25,103.23,1534247766#0_0,0.00
141.0,bus_001,77.628255,12.916938,106.23,bus,13.42,563.92,1073384217#1_0,0.00
141.0,car_001,77.642624,12.919274,35.32,car,15.63,264.05,377125912#2_0,0.00
141.0,car_002,77.640478,12.917027,46.41,car,14.41,611.63,380707230#2_0,0.00
141.0,car_003,77.640673,12.917221,51.55,car,16.02,641.38,380707230#2_1,0.00
141.0,car_004,77.640123,12.916727,52.03,car,15.89,560.93,380707230#2_0,0.00
141.0,car_005,77.639099,12.916233,69.28,car,16.24,436.76,380707230#2_0,0.00
141.0,car_006,77.634866,12.916320,93.96,car,13.27,272.61,380707230#0_0,0.00
141.0,car_007,77.633486,12.916442,95.04,car,12.67,122.19,380707230#0_0,0.00
141.0,car_008,77.634477,12.916379,93.91,car,15.37,229.98,380707230#0_1,0.00
141.0,car_009,77.633158,12.916473,95.19,car,16.21,86.37,380707230#0_0,0.00
141.0,car_010,77.631242,12.916663,95.08,car,15.60,61.49,1534247766#1_0,0.00
141.0,truck_001,77.624487,12.917661,84.63,truck,11.71,142.70,1073384217#1_0,0.00
142.0,bike_001,77.640811,12.917290,51.41,motorcycle,15.63,657.92,380707230#2_0,0.00
142.0,bike_002,77.633965,12.916395,95.04,motorcycle,10.84,174.43,380707230#0_0,0.00
142.0,bike_003,77.635661,12.916277,95.79,motorcycle,14.05,59.38,380707230#2_0,0.00
142.0,bike_004,77.634012,12.916420,95.04,motorcycle,15.31,179.20,380707230#0_1,0.00
142.0,bike_005,77.630383,12.916718,93.26,motorcycle,15.36,118.59,1534247766#0_0,0.00
142.0,bus_001,77.628375,12.916903,106.23,bus,13.67,577.59,1073384217#1_0,0.00
142.0,car_001,77.642708,12.919388,35.32,car,15.54,279.59,377125912#2_0,0.00
142.0,car_002,77.640580,12.917113,51.54,car,14.54,626.18,380707230#2_0,0.00
142.0,car_003,77.640788,12.917308,51.48,car,15.73,657.11,380707230#2_1,0.00
142.0,car_004,77.640242,12.916821,48.29,car,16.53,577.46,380707230#2_0,0.00
142.0,car_005,77.639236,12.916283,69.28,car,15.85,452.61,380707230#2_0,0.00
142.0,car_006,77.634978,12.916313,92.31,car,12.65,2.16,380707230#1_0,0.00
142.0,car_007,77.633604,12.916430,95.04,car,12.78,134.96,380707230#0_0,0.00
142.0,car_008,77.634623,12.916368,93.91,car,15.82,245.80,380707230#0_1,0.00
142.0,car_009,77.633308,12.916459,95.04,car,16.38,102.75,380707230#0_0,0.00
142.0,car_010,77.631391,12.916649,95.08,car,16.26,77.75,1534247766#1_0,0.00
142.0,truck_001,77.624594,12.917669,85.09,truck,11.68,154.38,1073384217#1_0,0.00
143.0,bike_001,77.640923,12.917375,51.41,motorcycle,15.30,673.22,380707230#2_0,0.00
143.0,bike_002,77.634068,12.916385,95.04,motorcycle,11.17,185.60,380707230#0_0,0.00
143.0,bike_003,77.635788,12.916263,95.79,motorcycle,13.81,73.18,380707230#2_0,0.00
143.0,bike_004,77.634144,12.916407,95.04,motorcycle,14.41,193.62,380707230#0_1,0.00
143.0,bike_005,77.630528,12.916708,93.26,motorcycle,15.72,134.31,1534247766#0_0,0.00
143.0,bus_001,77.628495,12.916873,103.14,bus,13.39,590.98,1073384217#1_0,0.00
143.0,car_001,77.642795,12.919506,35.32,car,16.05,295.65,377125912#2_0,0.00
143.0,car_002,77.640685,12.917193,51.54,car,14.43,640.61,380707230#2_0,0.00
143.0,car_003,77.640900,12.917394,51.41,car,15.49,672.60,380707230#2_1,0.00
143.0,car_004,77.640356,12.916918,48.29,car,16.27,593.73,380707230#2_0,0.00
143.0,car_005,77.639380,12.916335,68.69,car,16.56,469.17,380707230#2_0,0.00
143.0,car_006,77.635100,12.916308,91.89,car,12.66,8.00,:11977577698_3_0,0.00
143.0,car_007,77.633722,12.916419,95.04,car,12.96,147.92,380707230#0_0,0.00
143.0,car_008,77.634774,12.916356,93.95,car,16.54,262.33,380707230#0_1,0.00
143.0,car_009,77.633446,12.916445,95.04,car,15.00,117.74,380707230#0_0,0.00
143.0,car_010,77.631538,12.916634,95.08,car,16.02,93.76,1534247766#1_0,0.00
143.0,truck_001,77.624703,12.917677,85.09,truck,11.94,166.32,1073384217#1_0,0.00
144.0,bike_001,77.641029,12.917456,51.42,motorcycle,14.61,14.48,:11892824102_0_0,0.00
144.0,bike_002,77.634174,12.916375,95.04,motorcycle,11.56,197.16,380707230#0_0,0.00
144.0,bike_003,77.635923,12.916248,95.79,motorcycle,14.76,87.94,380707230#2_0,0.00
144.0,bike_004,77.634279,12.916395,93.91,motorcycle,14.72,208.34,380707230#0_1,0.00
144.0,bike_005,77.630660,12.916700,92.76,motorcycle,14.36,7.59,:12683580002_3_0,0.00
144.0,bus_001,77.628613,12.916848,101.44,bus,13.22,604.20,1073384217#1_0,0.00
144.0,car_001,77.642885,12.919628,35.32,car,16.64,312.28,377125912#2_0,0.00
144.0,car_002,77.640795,12.917277,51.52,car,15.06,655.67,380707230#2_0,0.00
144.0,car_003,77.641015,12.917483,51.40,car,15.90,15.15,:11892824102_0_1,0.00
144.0,car_004,77.640461,12.917011,46.41,car,15.37,609.10,380707230#2_0,0.00
144.0,car_005,77.639521,12.916387,68.69,car,16.32,485.49,380707230#2_0,0.00
144.0,car_006,77.635225,12.916303,91.90,car,13.47,12.05,380707230#2_0,0.00
144.0,car_007,77.633837,12.916408,95.04,car,12.51,160.43,380707230#0_0,0.00
144.0,car_008,77.634926,12.916345,93.22,car,16.57,2.63,:1653906436_1_1,0.00
144.0,car_009,77.633589,12.916461,95.04,car,15.31,133.05,380707230#0_1,0.00
144.0,car_010,77.631683,12.916620,95.08,car,15.89,109.65,1534247766#1_0,0.00
144.0,truck_001,77.624813,12.917680,87.76,truck,11.99,178.32,1073384217#1_0,0.00
145.0,bike_001,77.641135,12.917546,43.92,motorcycle,15.28,13.83,377125912#2_0,0.00
145.0,bike_002,77.634269,12.916366,93.91,motorcycle,10.39,207.55,380707230#0_0,0.00
145.0,bike_003,77.636053,12.916234,95.79,motorcycle,14.16,102.11,380707230#2_0,0.00
145.0,bike_004,77.634419,12.916384,93.91,motorcycle,15.28,223.62,380707230#0_1,0.00
145.0,bike_005,77.630795,12.916693,92.21,motorcycle,14.71,12.81,1534247766#1_0,0.00
145.0,bus_001,77.628735,12.916838,94.28,bus,13.27,617.47,1073384217#1_0,0.00
145.0,car_001,77.642974,12.919749,35.30,car,16.48,328.76,377125912#2_0,0.00
145.0,car_002,77.640901,12.917358,51.41,car,14.53,670.20,380707230#2_0,0.00
145.0,car_003,77.641127,12.917579,43.92,car,16.19,15.41,377125912#2_1,0.00
145.0,car_004,77.640575,12.917110,51.54,car,16.49,625.59,380707230#2_0,0.00
145.0,car_005,77.639652,12.916448,63.45,car,15.71,501.20,380707230#2_0,0.00
145.0,car_006,77.635351,12.916298,91.90,car,13.69,25.74,380707230#2_0,0.00
145.0,car_007,77.633950,12.916397,95.04,car,12.29,172.71,380707230#0_0,0.00
145.0,car_008,77.635070,12.916338,91.88,car,15.57,4.54,:11977577698_3_1,0.00
145.0,car_009,77.633738,12.916446,95.04,car,16.30,149.35,380707230#0_1,0.00
145.0,car_010,77.631835,12.916605,95.08,car,16.54,126.19,1534247766#1_0,0.00
145.0,truck_001,77.624924,12.917681,88.98,truck,12.04,190.35,1073384217#1_0,0.00
146.0,bike_001,77.641230,12.917640,43.92,motorcycle,14.56,28.39,377125912#2_0,0.00
146.0,bike_002,77.634375,12.916358,93.91,motorcycle,11.57,219.12,380707230#0_0,0.00
146.0,bike_003,77.636176,12.916221,95.79,motorcycle,13.35,115.45,380707230#2_0,0.00
146.0,bike_004,77.634559,12.916344,93.91,motorcycle,15.53,239.16,380707230#0_0,0.00
146.0,bike_005,77.630941,12.916686,92.21,motorcycle,15.80,28.61,1534247766#1_0,0.00
146.0,bus_001,77.628860,12.916828,94.26,bus,13.60,631.07,1073384217#1_0,0.00
146.0,car_001,77.643063,12.919865,37.01,car,16.13,7.75,:650141428_3_0,0.00
146.0,car_002,77.641009,12.917441,51.42,car,14.86,11.71,:11892824102_0_0,0.00
146.0,car_003,77.641232,12.917684,43.92,car,16.25,31.66,377125912#2_1,0.00
146.0,car_004,77.640690,12.917197,51.54,car,15.75,641.34,380707230#2_0,0.00
146.0,car_005,77.639780,12.916511,62.09,car,15.51,516.71,380707230#2_0,0.00
146.0,car_006,77.635478,12.916292,91.90,car,13.78,39.52,380707230#2_0,0.00
146.0,car_007,77.634069,12.916385,95.04,car,12.97,185.69,380707230#0_0,0.00
146.0,car_008,77.635213,12.916332,91.90,car,15.57,10.70,380707230#2_1,0.00
146.0,car_009,77.633890,12.916432,95.04,car,16.58,165.93,380707230#0_1,0.00
146.0,car_010,77.631983,12.916591,95.08,car,16.22,142.41,1534247766#1_0,0.00
146.0,truck_001,77.625032,12.917681,89.06,truck,11.69,202.05,1073384217#1_0,0.00
147.0,bike_001,77.641331,12.917741,43.92,motorcycle,15.59,43.99,377125912#2_0,0.00
147.0,bike_002,77.634463,12.916351,93.91,motorcycle,9.56,228.68,380707230#0_0,0.00
147.0,bike_003,77.636296,12.916207,95.79,motorcycle,13.13,128.59,380707230#2_0,0.00
147.0,bike_004,77.634705,12.916333,93.91,motorcycle,15.86,255.01,380707230#0_0,0.00
147.0,bike_005,77.631084,12.916678,95.08,motorcycle,15.61,44.21,1534247766#1_0,0.00
147.0,bus_001,77.628981,12.916818,94.23,bus,13.25,644.31,1073384217#1_0,0.00
147.0,car_001,77.643154,12.919978,38.57,car,16.05,9.12,377125912#3_0,0.00
147.0,car_002,77.641116,12.917527,47.13,car,15.08,10.86,377125912#2_0,0.00
147.0,car_003,77.641339,12.917790,43.92,car,16.51,48.17,377125912#2_1,0.00
147.0,car_004,77.640810,12.917289,51.45,car,16.45,657.80,380707230#2_0,0.00
147.0,car_005,77.639907,12.916583,59.30,car,15.81,532.52,380707230#2_0,0.00
147.0,car_006,77.635597,12.916284,95.79,car,12.95,52.47,380707230#2_0,0.00
147.0,car_007,77.634185,12.916374,95.04,car,12.74,198.43,380707230#0_0,0.00
147.0,car_008,77.635365,12.916326,91.90,car,16.51,27.20,380707230#2_1,0.00
147.0,car_009,77.634041,12.916417,95.04,car,16.46,182.39,380707230#0_1,0.00
147.0,car_010,77.632134,12.916576,95.08,car,16.48,158.90,1534247766#1_0,0.00
147.0,truck_001,77.625141,12.917681,89.89,truck,11.95,214.00,1073384217#1_0,0.00
148.0,bike_001,77.641423,12.917834,43.92,motorcycle,14.32,58.30,377125912#2_0,0.00
148.0,bike_002,77.634563,12.916344,93.91,motorcycle,10.89,239.57,380707230#0_0,0.00
148.0,bike_003,77.636418,12.916194,95.79,motorcycle,13.23,141.82,380707230#2_0,0.00
148.0,bike_004,77.634849,12.916322,93.96,motorcycle,15.66,270.67,380707230#0_0,0.00
148.0,bike_005,77.631231,12.916664,95.08,motorcycle,16.06,60.28,1534247766#1_0,0.00
148.0,bus_001,77.629103,12.916808,94.23,bus,13.29,657.60,1073384217#1_0,0.00
148.0,car_001,77.643249,12.920092,38.57,car,16.32,25.44,377125912#3_0,0.00
148.0,car_002,77.641208,12.917619,43.92,car,14.24,25.10,377125912#2_0,0.00
148.0,car_003,77.641443,12.917895,43.92,car,16.24,64.41,377125912#2_1,0.00
148.0,car_004,77.640929,12.917380,51.41,car,16.29,0.74,:11892824102_0_0,0.00
148.0,car_005,77.640030,12.916657,54.61,car,15.67,548.20,380707230#2_0,0.00
148.0,car_006,77.635715,12.916271,95.79,car,12.79,65.25,380707230#2_0,0.00
148.0,car_007,77.634294,12.916365,93.91,car,11.90,210.32,380707230#0_0,0.00
148.0,car_008,77.635516,12.916319,91.90,car,16.47,43.67,380707230#2_1,0.00
148.0,car_009,77.634190,12.916403,95.04,car,16.24,198.63,380707230#0_1,0.00
148.0,car_010,77.632277,12.916562,95.59,car,15.65,174.54,1534247766#1_0,0.00
148.0,truck_001,77.625250,12.917680,89.89,truck,11.79,225.79,1073384217#1_0,0.00
149.0,bike_001,77.641522,12.917932,43.92,motorcycle,15.21,73.51,377125912#2_0,0.00
149.0,bike_002,77.634663,12.916336,93.91,motorcycle,10.84,250.41,380707230#0_0,0.00
149.0,bike_003,77.636543,12.916180,95.79,motorcycle,13.65,155.47,380707230#2_0,0.00
149.0,bike_004,77.634979,12.916313,91.85,motorcycle,14.71,2.28,380707230#1_0,0.00
149.0,bike_005,77.631378,12.916650,95.08,motorcycle,16.03,76.30,1534247766#1_0,0.00
149.0,bus_001,77.629229,12.916797,94.17,bus,13.78,2.49,:2471287780_3_0,0.00
149.0,car_001,77.643342,12.920203,38.57,car,15.93,41.37,377125912#3_0,0.00
149.0,car_002,77.641304,12.917715,43.92,car,14.81,39.90,377125912#2_0,0.00
149.0,car_003,77.641543,12.917994,43.92,car,15.47,79.88,377125912#2_1,0.00
149.0,car_004,77.641047,12.917470,51.41,car,16.28,1.09,377125912#2_0,0.00
149.0,car_005,77.640152,12.916748,52.03,car,16.65,564.85,380707230#2_0,0.00
149.0,car_006,77.635839,12.916258,95.79,car,13.51,78.77,380707230#2_0,0.00
149.0,car_007,77.634413,12.916355,93.91,car,12.96,223.28,380707230#0_0,0.00
149.0,car_008,77.635660,12.916306,95.79,car,15.71,59.39,380707230#2_1,0.00
149.0,car_009,77.634341,12.916390,93.91,car,16.47,215.10,380707230#0_1,0.00
149.0,car_010,77.632421,12.916547,95.19,car,15.67,5.89,380707230#0_0,0.00
149.0,truck_001,77.625359,12.917679,89.89,truck,11.87,237.66,1073384217#1_0,0.00
150.0,bike_001,77.641618,12.918028,42.01,motorcycle,14.86,88.38,377125912#2_0,0.00
150.0,bike_002,77.634760,12.916329,93.96,motorcycle,10.64,261.06,380707230#0_0,0.00
150.0,bike_003,77.636668,12.916165,96.76,motorcycle,13.58,169.04,380707230#2_0,0.00
150.0,bike_004,77.635131,12.916307,91.90,motorcycle,15.85,1.89,380707230#2_0,0.00
150.0,bike_005,77.631520,12.916636,95.08,motorcycle,15.49,91.80,1534247766#1_0,0.00
150.0,bus_001,77.629354,12.916788,93.71,bus,13.53,6.55,1534247766#0_0,0.00
150.0,car_001,77.643435,12.920316,38.57,car,16.02,57.39,377125912#3_0,0.00
150.0,car_002,77.641394,12.917804,43.92,car,13.86,53.76,377125912#2_0,0.00
150.0,car_003,77.641641,12.918096,41.92,car,15.46,95.34,377125912#2_1,0.00
150.0,car_004,77.641158,12.917568,43.92,car,16.18,17.27,377125912#2_0,0.00
150.0,car_005,77.640265,12.916840,48.29,car,15.86,580.71,380707230#2_0,0.00
150.0,car_006,77.635956,12.916245,95.79,car,12.71,91.48,380707230#2_0,0.00
150.0,car_007,77.634525,12.916347,93.91,car,12.11,235.40,380707230#0_0,0.00
150.0,car_008,77.635809,12.916290,95.79,car,16.24,75.63,380707230#2_1,0.00
150.0,car_009,77.634491,12.916378,93.91,car,16.37,231.47,380707230#0_1,0.00
150.0,car_010,77.632573,12.916531,95.19,car,16.66,22.56,380707230#0_0,0.00
150.0,truck_001,77.625470,12.917677,90.61,truck,12.05,249.71,1073384217#1_0,0.00
151.0,bike_001,77.641711,12.918128,41.91,motorcycle,14.99,103.37,377125912#2_0,0.00
151.0,bike_002,77.634866,12.916320,93.96,motorcycle,11.49,272.54,380707230#0_0,0.00
151.0,bike_003,77.636801,12.916149,96.76,motorcycle,14.58,183.62,380707230#2_0,0.00
151.0,bike_004,77.635275,12.916301,91.90,motorcycle,15.67,17.56,380707230#2_0,0.00
151.0,bike_005,77.631666,12.916622,95.08,motorcycle,16.02,107.82,1534247766#1_0,0.00
151.0,bus_001,77.629480,12.916779,93.53,bus,13.75,20.30,1534247766#0_0,0.00
151.0,car_001,77.643532,12.920432,38.57,car,16.66,74.05,377125912#3_0,0.00
151.0,car_002,77.641492,12.917902,43.92,car,15.11,68.88,377125912#2_0,0.00
151.0,car_003,77.641741,12.918203,41.92,car,16.11,111.46,377125912#2_1,0.00
151.0,car_004,77.641265,12.917676,43.92,car,16.63,33.90,377125912#2_0,0.00
151.0,car_005,77.640380,12.916939,48.29,car,16.57,597.28,380707230#2_0,0.00
151.0,car_006,77.636072,12.916232,95.79,car,12.69,104.17,380707230#2_0,0.00
151.0,car_007,77.634642,12.916338,93.91,car,12.80,248.19,380707230#0_0,0.00
151.0,car_008,77.635957,12.916274,95.79,car,16.12,91.75,380707230#2_1,0.00
151.0,car_009,77.634638,12.916367,93.91,car,16.03,247.50,380707230#0_1,0.00
151.0,car_010,77.632720,12.916517,95.19,car,16.04,38.59,380707230#0_0,0.00
151.0,truck_001,77.625579,12.917664,96.07,truck,12.01,261.72,1073384217#1_0,0.00
152.0,bike_001,77.641808,12.918232,41.91,motorcycle,15.49,118.85,377125912#2_0,0.00
152.0,bike_002,77.634961,12.916314,92.51,motorcycle,11.14,0.59,380707230#1_0,0.00
152.0,bike_003,77.636925,12.916133,96.76,motorcycle,13.45,197.07,380707230#2_0,0.00
152.0,bike_004,77.635422,12.916295,91.90,motorcycle,15.88,33.44,380707230#2_0,0.00
152.0,bike_005,77.631815,12.916607,95.08,motorcycle,16.29,124.11,1534247766#1_0,0.00
152.0,bus_001,77.629603,12.916770,93.53,bus,13.38,33.69,1534247766#0_0,0.00
152.0,car_001,77.643622,12.920542,38.57,car,15.62,89.67,377125912#3_0,0.00
152.0,car_002,77.641582,12.917992,43.92,car,13.96,82.84,377125912#2_0,0.00
152.0,car_003,77.641841,12.918313,40.69,car,16.26,127.72,377125912#2_1,0.00
152.0,car_004,77.641368,12.917779,43.92,car,15.92,49.82,377125912#2_0,0.00
152.0,car_005,77.640489,12.917037,46.41,car,15.95,613.23,380707230#2_0,0.00
152.0,car_006,77.636190,12.916219,95.79,car,12.78,116.95,380707230#2_0,0.00
152.0,car_007,77.634752,12.916329,93.92,car,11.91,260.10,380707230#0_0,0.00
152.0,car_008,77.636104,12.916258,95.79,car,16.11,107.86,380707230#2_1,0.00
152.0,car_009,77.634789,12.916355,93.96,car,16.39,263.89,380707230#0_1,0.00
152.0,car_010,77.632865,12.916502,95.19,car,15.85,54.45,380707230#0_0,0.00
152.0,truck_001,77.625688,12.917652,96.07,truck,11.87,273.60,1073384217#1_0,0.00
153.0,bike_001,77.641906,12.918341,40.69,motorcycle,16.07,134.92,377125912#2_0,0.00
153.0,bike_002,77.635076,12.916309,91.89,motorcycle,11.62,5.39,:11977577698_3_0,0.00
153.0,bike_003,77.637045,12.916118,96.76,motorcycle,13.12,210.19,380707230#2_0,0.00
153.0,bike_004,77.635561,12.916288,93.75,motorcycle,15.09,48.53,380707230#2_0,0.00
153.0,bike_005,77.631966,12.916593,95.08,motorcycle,16.43,140.54,1534247766#1_0,0.00
153.0,bus_001,77.629725,12.916762,93.53,bus,13.34,47.02,1534247766#0_0,0.00
153.0,car_001,77.643712,12.920650,38.57,car,15.47,105.14,377125912#3_0,0.00
153.0,car_002,77.641671,12.918085,41.91,car,14.12,96.96,377125912#2_0,0.00
153.0,car_003,77.641939,12.918423,40.69,car,16.17,143.89,377125912#2_1,0.00
153.0,car_004,77.641474,12.917884,43.92,car,16.30,66.12,377125912#2_0,0.00
153.0,car_005,77.640605,12.917132,51.54,car,16.35,629.58,380707230#2_0,0.00
153.0,car_006,77.636309,12.916206,95.79,car,12.97,129.92,380707230#2_0,0.00
153.0,car_007,77.634862,12.916321,93.96,car,12.08,272.18,380707230#0_0,0.00
153.0,car_008,77.636245,12.916242,95.79,car,15.44,123.29,380707230#2_1,0.00
153.0,car_009,77.634939,12.916344,92.84,car,16.33,3.95,:1653906436_1_1,0.00
153.0,car_010,77.633014,12.916488,95.19,car,16.16,70.60,380707230#0_0,0.00
153.0,truck_001,77.625797,12.917633,99.17,truck,12.05,285.65,1073384217#1_0,0.00
154.0,bike_001,77.641997,12.918443,40.69,motorcycle,14.98,149.90,377125912#2_0,0.00
154.0,bike_002,77.635179,12.916305,91.90,motorcycle,11.14,7.11,380707230#2_0,0.00
154.0,bike_003,77.637173,12.916101,96.98,motorcycle,14.03,224.21,380707230#2_0,0.00
154.0,bike_004,77.635712,12.916272,95.79,motorcycle,16.38,64.91,380707230#2_0,0.00
154.0,bike_005,77.632118,12.916578,95.08,motorcycle,16.55,157.10,1534247766#1_0,0.00
154.0,bus_001,77.629848,12.916753,93.53,bus,13.30,60.32,1534247766#0_0,0.00
154.0,car_001,77.643802,12.920758,38.57,car,15.47,120.61,377125912#3_0,0.00
154.0,car_002,77.641763,12.918184,41.91,car,14.72,111.68,377125912#2_0,0.00
154.0,car_003,77.642036,12.918537,36.74,car,16.46,160.35,377125912#2_1,0.00
154.0,car_004,77.641579,12.917989,43.92,car,16.21,82.33,377125912#2_0,0.00
154.0,car_005,77.640724,12.917223,51.54,car,16.35,645.93,380707230#2_0,0.00
154.0,car_006,77.636427,12.916193,95.79,car,12.93,142.85,380707230#2_0,0.00
154.0,car_007,77.634974,12.916314,92.40,car,12.67,1.75,380707230#1_0,0.00
154.0,car_008,77.636387,12.916227,95.79,car,15.49,138.78,380707230#2_1,0.00
154.0,car_009,77.635086,12.916338,91.88,car,16.05,6.35,:11977577698_3_1,0.00
154.0,car_010,77.633166,12.916473,95.19,car,16.59,87.19,380707230#0_0,0.00
154.0,truck_001,77.625906,12.917611,100.86,truck,12.13,297.78,1073384217#1_0,0.00
155.0,bike_001,77.642086,12.918553,36.74,motorcycle,15.50,165.40,377125912#2_0,0.00
155.0,bike_002,77.635285,12.916300,91.90,motorcycle,11.47,18.57,380707230#2_0,0.00
155.0,bike_003,77.637303,12.916084,96.98,motorcycle,14.19,238.41,380707230#2_0,0.00
155.0,bike_004,77.635843,12.916257,95.79,motorcycle,14.31,79.23,380707230#2_0,0.00
155.0,bike_005,77.632260,12.916563,95.59,motorcycle,15.57,172.67,1534247766#1_0,0.00
155.0,bus_001,77.629973,12.916745,93.34,bus,13.64,73.97,1534247766#0_0,0.00
155.0,car_001,77.643896,12.920872,38.57,car,16.19,136.80,377125912#3_0,0.00
155.0,car_002,77.641854,12.918283,40.69,car,14.72,126.40,377125912#2_0,0.00
