timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio
12.0,1,car,3912.61,7161.66,14.47,0.46,27935333#2_0,27935333#2,4,0,692.49,3.1,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.5,-148.36,-35.52,0.008,497.64,0.0
12.0,2,car,4425.14,13309.74,7.84,0.83,464465173#1_1,464465173#1,4,0,5342.96,8.34,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,70.27,0.0
12.0,3,car,3227.22,7062.78,11.37,-0.17,-60194990_0,-60194990,4,0,692.49,3.1,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.25,-150.0,-47.8,0.014,278.21,0.0
13.0,0,car,1658.46,8720.58,16.33,0.16,-290639790#9_0,-290639790#9,5,1,273.94,5.57,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.4,-144.83,-2.82,6.068,3.06,0.1564
13.0,1,car,3897.97,7161.89,14.64,0.17,:306618319_0_0,:306618319_0,5,0,666.2,2.76,0,autonomous_driving,4,2,CH2_5.88GHz_EMERG,0.2,-150.0,-25.72,0.039,311.21,0.0
13.0,2,car,4424.72,13317.72,7.99,0.15,464465173#1_1,464465173#1,5,0,5365.25,8.34,0,safety,1,5,CH5_28GHz_mmWave,0.2,-150.0,-60.0,0.014,166.98,0.0
13.0,3,car,3239.05,7063.68,11.88,0.51,-60194990_0,-60194990,5,0,666.2,2.76,0,safety,1,1,CH1_5.86GHz_V2V,0.4,-144.47,-27.6,0.025,98.31,0.0
13.0,4,motorcycle,1889.32,8573.12,10.76,0.0,-254053180#3_0,-254053180#3,5,1,273.94,5.57,0,safety,1,4,CH4_5.92GHz_AUTON,0.2,-150.0,-14.16,1.087,2.81,0.0035
14.0,0,car,1654.29,8705.26,15.88,-0.45,:6194045127_1_0,:6194045127_1,5,1,264.68,5.19,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.4,-150.0,-29.35,0.168,26.27,0.0
14.0,1,car,3884.23,7162.09,13.74,-0.9,27935333#3_0,27935333#3,5,0,640.95,2.04,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.4,-150.0,-47.9,0.014,279.67,0.0
14.0,2,car,4424.36,13324.7,6.99,-1.01,464465173#1_1,464465173#1,5,0,5386.33,8.89,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.2,-150.0,-60.0,0.001,8318.8,0.0
14.0,3,car,3250.61,7065.4,11.7,-0.17,-60194990_0,-60194990,5,0,640.95,2.04,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.4,-150.0,-60.0,0.058,71.72,0.0
14.0,4,motorcycle,1880.26,8567.44,10.69,-0.06,-254053180#3_0,-254053180#3,5,1,264.68,5.19,0,safety,1,6,CH6_140GHz_6G_THz,0.4,-150.0,-42.04,0.058,43.99,0.0
15.0,0,car,1650.04,8690.15,15.69,-0.19,-290639790#8_0,-290639790#8,5,1,257.85,9.5,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.4,-140.84,-3.92,4.911,3.22,0.1119
15.0,1,car,3870.05,7162.3,14.18,0.44,:306618203_0_0,:306618203_0,5,0,615.31,2.49,0,infotainment,5,5,CH5_28GHz_mmWave,0.2,-150.0,-46.6,0.014,2773.33,0.0
15.0,2,car,4424.0,13331.59,6.9,-0.09,464465173#1_1,464465173#1,5,0,5406.09,0.71,0,safety,1,6,CH6_140GHz_6G_THz,0.4,-150.0,-60.0,0.058,44.01,0.0
