timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,heading,distance,waiting_time,network_vehicle_count,network_avg_speed,network_avg_waiting_time,edge_vehicle_count,edge_queue_length
16.0,0,car,1645.84,8675.24,15.48,-0.21,:10091779111_1_0,:10091779111_1,195.71,238.56,0.0,6,10.51,0.0,1,0
16.0,1,car,3855.31,7162.52,14.74,0.56,27935333#4_0,27935333#4,270.86,173.35,0.0,6,10.51,0.0,1,0
16.0,2,car,4423.62,13338.88,7.3,0.4,464465173#1_1,464465173#1,357.02,67.09,0.0,6,10.51,0.0,1,0
16.0,3,car,3273.46,7069.56,11.56,-0.13,-60194990_0,-60194990,81.17,69.73,0.0,6,10.51,0.0,1,0
16.0,4,motorcycle,1871.02,8562.13,4.49,-1.7,:3870459131_0_0,:3870459131_0,246.98,21.38,0.0,6,10.51,0.0,1,0
16.0,5,car,4262.66,6816.82,9.49,0.0,-1103093311_0,-1103093311,92.78,0.0,0.0,6,10.51,0.0,1,0
17.0,0,car,1641.6,8660.19,15.64,0.16,-290639790#7_0,-290639790#7,195.73,254.21,0.0,6,10.48,0.0,1,0
17.0,1,car,3841.71,7162.73,13.6,-1.15,27935333#4_0,27935333#4,270.86,186.95,0.0,6,10.48,0.0,1,0
17.0,2,car,4423.23,13346.31,7.44,0.14,464465173#1_1,464465173#1,357.02,74.53,0.0,6,10.48,0.0,1,0
17.0,3,car,3284.57,7070.45,11.14,-0.41,-60194990_0,-60194990,85.45,80.87,0.0,6,10.48,0.0,1,0
17.0,4,motorcycle,1866.01,8564.39,5.87,1.37,:3870459131_0_0,:3870459131_0,315.74,27.25,0.0,6,10.48,0.0,1,0
17.0,5,car,4271.82,6816.37,9.17,-0.32,-1103093311_0,-1103093311,92.78,9.17,0.0,6,10.48,0.0,1,0
18.0,0,car,1637.97,8647.3,13.39,-2.25,:10091779113_1_0,:10091779113_1,195.72,267.6,0.0,6,8.83,0.0,1,0
18.0,1,car,3831.97,7162.88,9.74,-3.86,27935333#4_0,27935333#4,270.86,196.69,0.0,6,8.83,0.0,1,0
18.0,2,car,4422.84,13353.76,7.47,0.03,464465173#1_1,464465173#1,357.02,82.0,0.0,6,8.83,0.0,1,0
18.0,3,car,3296.6,7071.07,12.05,0.91,-60194990_0,-60194990,87.25,92.91,0.0,6,8.83,0.0,1,0
